File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0609_13_mesh_20.ply,493.503,474.959,28.5,10.562,7.613,
0609_11_mesh_2.ply,1675.81,1315.908,66.562,17.261,7.656,
0609_07_mesh_8.ply,692.499,593.739,26.018,8.57,7.668,
0609_12_mesh_12.ply,988.488,735.697,35.085,9.381,7.688,
0609_11_mesh_7.ply,1081.333,1340.229,92.981,16.095,7.803,
0609_12_mesh_9.ply,484.986,455.86,19.737,10.133,7.837,
0609_08_mesh_3.ply,1207.795,890.398,44.888,10.36,7.968,
0609_11_mesh_5.ply,614.343,472.114,20.713,8.352,7.991,
0609_11_mesh_3.ply,790.152,750.719,46.366,10.215,8.048,
0609_12_mesh_1.ply,1037.507,1035.404,66.659,17.477,8.084,
0609_12_mesh_2.ply,985.55,727.534,31.261,8.873,8.57,
0609_07_mesh_5.ply,890.153,571.759,20.298,8.714,8.744,
0609_10_mesh_3.ply,2476.029,1721.921,76.808,20.711,8.863,
0609_06_mesh_2.ply,2527.937,1485.302,56.714,11.978,9.001,
0609_12_mesh_8.ply,923.887,1205.474,94.984,20.019,9.243,
0609_06_mesh_1.ply,1365.683,918.002,32.806,16.843,9.446,
0609_07_mesh_9.ply,3043.965,1746.413,63.443,17.205,9.512,
0609_07_mesh_10.ply,1384.86,1049.247,30.502,13.916,9.71,
0609_10_mesh_4.ply,2397.153,1698.088,81.702,11.729,9.964,
0609_10_mesh_7.ply,1382.712,1132.493,49.004,23.426,10.293,
0609_10_mesh_5.ply,3098.726,2009.486,83.576,20.541,10.313,
0609_06_mesh_4.ply,2445.295,1363.038,44.591,11.809,10.757,
0609_11_mesh_1.ply,719.576,1261.557,123.726,24.141,11.038,
0609_10_mesh_6.ply,3025.317,1992.502,83.122,11.748,11.529,
0609_11_mesh_4.ply,1589.535,1093.483,43.081,18.212,11.559,
0609_11_mesh_10.ply,870.803,885.238,51.993,10.727,11.825,
0609_06_mesh_5.ply,3797.317,1963.374,47.947,17.889,13.044,
0609_07_mesh_1.ply,1858.831,1007.727,20.148,18.541,13.12,
0609_10_mesh_1.ply,3072.234,1850.017,70.515,19.272,13.143,
0609_07_mesh_7.ply,6016.296,2624.908,64.466,27.168,15.454,
0609_11_mesh_6.ply,2977.941,1651.258,56.595,24.183,16.1,
0609_07_mesh_3.ply,6972.592,3177.516,54.487,24.837,17.53,
0609_06_mesh_3.ply,13241.382,4976.245,107.232,32.66,35.99,
