Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0526_05.csv,0526_05_mesh_11.ply,410.021,591.087,40.856,9.057,6.406,0.123,299.9846349
0526_14.csv,0526_14_mesh_14.ply,36.697,83.791,10.878,4.87,2.201,0.011,299.7520233
0526_12.csv,0526_12_mesh_13.ply,206.852,240.041,19.33,5.326,4.622,0.062,299.7312088
0526_14.csv,0526_14_mesh_15.ply,213.766,229.774,15.065,8.182,6,0.064,299.392794
0524_17.csv,0524_17_mesh_8.ply,7698.13,3702.291,111.851,24.224,18.405,2.301,298.9037597
0524_16.csv,0524_16_mesh_3.ply,1980.584,1091.89,40.306,14.768,12.12,0.588,296.8821317
0524_22.csv,0524_22_mesh_16.ply,87.624,132.185,10.051,5.154,3.756,0.026,296.7223592
0526_11.csv,0526_11_mesh_1.ply,1191.519,743.239,32.716,10.654,8.901,0.352,295.4212228
0526_13.csv,0526_13_mesh_10.ply,545.004,453.404,26.081,6.29,6.968,0.161,295.4106759
0524_19.csv,0524_19_mesh_15.ply,366.007,346.543,22.198,6.299,5.43,0.108,295.0763237
0526_08.csv,0526_08_mesh_3.ply,1219.393,810.456,33.163,9.756,8.878,0.358,293.5886954
0524_15.csv,0524_15_mesh_9.ply,513.57,476.379,25.643,7.091,6.966,0.15,292.0731351
0526_04.csv,0526_04_mesh_3.ply,75.384,200.659,21.802,6.47,4.941,0.022,291.8391171
0524_22.csv,0524_22_mesh_10.ply,89.241,111.967,7.922,4.893,4.167,0.026,291.345906
0526_14.csv,0526_14_mesh_12.ply,233.539,398.996,42.997,7.208,6.53,0.068,291.1719242
0524_22.csv,0524_22_mesh_2.ply,51.631,133.926,11.727,8.361,2.76,0.015,290.5231353
0524_19.csv,0524_19_mesh_6.ply,51.679,86.118,7.547,4.098,4.004,0.015,290.2532944
0526_05.csv,0526_05_mesh_5.ply,217.147,309.485,17.742,10.948,6.938,0.063,290.1260436
0526_07.csv,0526_07_mesh_13.ply,293.097,434.778,35.625,8.488,6.066,0.085,290.0063801
0526_12.csv,0526_12_mesh_7.ply,83.245,162.007,18.413,6.09,2.814,0.024,288.3056039
0524_22.csv,0524_22_mesh_7.ply,90.339,192.485,15.143,6.461,3.51,0.026,287.8048241
0524_18.csv,0524_18_mesh_8.ply,48.933,97.906,10.898,4.495,3.35,0.014,286.1054912
0524_15.csv,0524_15_mesh_6.ply,122.357,187.633,12.748,5.64,4.396,0.035,286.0482032
0526_02.csv,0526_02_mesh_3.ply,136.48,256.414,25.679,8.933,5.001,0.039,285.7561547
0526_02.csv,0526_02_mesh_6.ply,70.284,143.185,14.083,6.05,4.406,0.02,284.559786
0524_22.csv,0524_22_mesh_19.ply,179.527,203.549,13.415,5.822,5.113,0.051,284.079832
0526_08.csv,0526_08_mesh_10.ply,2513.985,1852.868,98.88,19.915,12.898,0.713,283.6134663
0526_13.csv,0526_13_mesh_6.ply,759.177,593.877,28.84,9.927,7.044,0.215,283.2014142
0526_02.csv,0526_02_mesh_4.ply,127.492,168.117,9.515,6.814,5.762,0.036,282.3706586
0524_15.csv,0524_15_mesh_7.ply,99.161,186.862,20.857,8.44,5.851,0.028,282.3690766
0526_03.csv,0526_03_mesh_5.ply,17.762,90.731,6.301,5.749,2.942,0.005,281.4998311
0526_04.csv,0526_04_mesh_19.ply,213.374,371.246,34.226,8.978,5.842,0.06,281.1963969
0526_07.csv,0526_07_mesh_14.ply,103.171,188.585,23.153,4.189,4.385,0.029,281.0867395
0526_13.csv,0526_13_mesh_7.ply,1602.674,1351.745,75.97,18.291,8.242,0.45,280.7807452
0526_02.csv,0526_02_mesh_7.ply,759.087,1040.116,71.186,38.525,15.244,0.212,279.2828753
0524_22.csv,0524_22_mesh_22.ply,158.43,186.672,12.583,6.215,5.168,0.044,277.7251783
0524_19.csv,0524_19_mesh_10.ply,115.318,197.443,14.078,7.097,4.264,0.032,277.4935396
0524_20.csv,0524_20_mesh_1.ply,18.039,71.612,5.471,7.283,2.193,0.005,277.1772271
0524_21.csv,0524_21_mesh_4.ply,1582.605,959.157,33.77,10.822,10.855,0.438,276.758888
0526_11.csv,0526_11_mesh_7.ply,674.289,856.413,60.704,32.263,9.81,0.186,275.8461135
0526_04.csv,0526_04_mesh_9.ply,577.746,688.475,52.054,12.603,6.417,0.159,275.2074441
0524_19.csv,0524_19_mesh_2.ply,51.005,110.998,14.279,5.77,3.477,0.014,274.4828938
0524_19.csv,0524_19_mesh_11.ply,47.405,98.941,6.711,8.118,3.622,0.013,274.2326759
0526_13.csv,0526_13_mesh_9.ply,325.057,671.608,79.63,21.348,10.359,0.089,273.7981339
0524_15.csv,0524_15_mesh_4.ply,997.649,1190.618,87.757,22.292,9.47,0.272,272.6409789
0524_15.csv,0524_15_mesh_1.ply,143.64,199.674,16.459,4.677,4.667,0.039,271.5121136
0524_19.csv,0524_19_mesh_5.ply,55.326,118.265,11.365,5.309,3.585,0.015,271.120269
0524_20.csv,0524_20_mesh_3.ply,33.298,75.3,7.664,5.007,3.729,0.009,270.2865037
0526_12.csv,0526_12_mesh_3.ply,62.94,97.168,8.853,4.842,3.415,0.017,270.0985065
0526_10.csv,0526_10_mesh_1.ply,63.345,136.665,10.615,6.712,3.414,0.017,268.3716158
0526_12.csv,0526_12_mesh_4.ply,67.077,124.024,13.579,4.292,4.982,0.018,268.3483161
0526_13.csv,0526_13_mesh_2.ply,201.24,280.477,24.56,5.577,5.055,0.054,268.3363148
0526_13.csv,0526_13_mesh_8.ply,2126.24,1359.236,57.203,10.12,9.091,0.57,268.0788622
0524_22.csv,0524_22_mesh_20.ply,239.169,254.991,16.541,8.767,5.25,0.064,267.5932081
0526_05.csv,0526_05_mesh_3.ply,52.368,223.366,27.108,4.755,3.056,0.014,267.3388329
0526_06.csv,0526_06_mesh_2.ply,707.479,576.087,26.967,11.478,7.168,0.189,267.1457386
0526_02.csv,0526_02_mesh_2.ply,75.053,136.315,8.949,9.83,4.78,0.02,266.4783553
0524_22.csv,0524_22_mesh_5.ply,579.051,1069.697,140.321,22.094,11.246,0.154,265.9523945
0524_16.csv,0524_16_mesh_4.ply,966.834,1029.618,70.588,21.239,13.991,0.257,265.8160553
0526_10.csv,0526_10_mesh_9.ply,185.024,310.27,26.477,8.25,5.733,0.049,264.8305085
0524_21.csv,0524_21_mesh_12.ply,1273.815,859.931,34.52,12.228,12.401,0.337,264.5596103
0524_21.csv,0524_21_mesh_14.ply,302.438,395.635,32.438,7.262,4.957,0.08,264.517025
0526_05.csv,0526_05_mesh_17.ply,459.197,587.781,27.568,7.119,5.921,0.121,263.5034637
0526_04.csv,0526_04_mesh_2.ply,493.46,401.745,17.581,8.861,7.956,0.13,263.445872
0524_22.csv,0524_22_mesh_13.ply,76.048,124.647,8.194,6.291,4.397,0.02,262.9917947
0524_19.csv,0524_19_mesh_16.ply,45.636,91.739,10.666,3.445,2.541,0.012,262.9503024
0526_07.csv,0526_07_mesh_9.ply,274.474,275.602,15.933,5.829,5.792,0.072,262.3199283
0526_11.csv,0526_11_mesh_8.ply,549.091,564.352,32.794,11.26,5.992,0.144,262.2516122
0526_05.csv,0526_05_mesh_8.ply,145.024,184.683,13.049,6.163,4.727,0.038,262.0255958
0524_21.csv,0524_21_mesh_5.ply,435.45,502.402,32.394,13.233,7.64,0.114,261.7981399
0526_01.csv,0526_01_mesh_9.ply,149.405,271.034,23.55,4.558,3.462,0.039,261.0354406
0524_21.csv,0524_21_mesh_9.ply,529.791,547.515,31.73,20.847,8.903,0.138,260.4800761
0526_01.csv,0526_01_mesh_3.ply,1261.645,803.631,34.894,10.355,8.459,0.328,259.9780445
0526_06.csv,0526_06_mesh_9.ply,1293.54,1024.149,51.4,7.972,8.147,0.336,259.7523076
0524_21.csv,0524_21_mesh_15.ply,532.057,699.45,40.268,14.485,6.001,0.138,259.3707065
0526_05.csv,0526_05_mesh_9.ply,96.555,207.115,17.146,5.719,3.756,0.025,258.9197867
0526_08.csv,0526_08_mesh_1.ply,1113.23,1015.615,41.009,13.229,7.97,0.287,257.8083595
0526_02.csv,0526_02_mesh_12.ply,50.45,127.268,21.736,5.571,3.324,0.013,257.6808722
0524_17.csv,0524_17_mesh_3.ply,742.236,838.099,58.701,14.338,9.49,0.191,257.3305525
0526_02.csv,0526_02_mesh_11.ply,140.066,300.443,28.105,8.181,4.021,0.036,257.0216898
0526_06.csv,0526_06_mesh_1.ply,809.902,846.531,59.235,13.608,6.288,0.207,255.5864784
0526_04.csv,0526_04_mesh_1.ply,365.581,408.201,28.873,9.246,6.239,0.093,254.3895881
0524_19.csv,0524_19_mesh_12.ply,221.234,465.122,60.413,7.952,4.997,0.056,253.1256498
0526_11.csv,0526_11_mesh_3.ply,4295.862,2914.147,116.757,43.722,10.704,1.086,252.8014168
0526_10.csv,0526_10_mesh_3.ply,43.518,99.505,9.597,6.449,2.384,0.011,252.7689692
0526_07.csv,0526_07_mesh_6.ply,213.759,364.282,31.749,14.066,4.877,0.054,252.6209423
0526_07.csv,0526_07_mesh_21.ply,547.099,489.466,22.418,7.678,7.494,0.138,252.2395398
0526_01.csv,0526_01_mesh_2.ply,123.124,202.236,15.962,5.95,4.328,0.031,251.7786946
0526_07.csv,0526_07_mesh_4.ply,35.914,90.402,11.909,5.887,3.375,0.009,250.5986523
0526_04.csv,0526_04_mesh_16.ply,223.522,224.142,9.773,9.198,6.145,0.056,250.534623
0526_12.csv,0526_12_mesh_2.ply,107.78,239.53,17.727,8.591,4.27,0.027,250.5102988
0524_18.csv,0524_18_mesh_3.ply,2666.796,2105.292,83.682,46.091,12.259,0.668,250.4878513
0524_19.csv,0524_19_mesh_9.ply,580.24,528.36,27.268,7.262,6.616,0.145,249.8965945
0526_06.csv,0526_06_mesh_7.ply,507.724,645.111,47.012,23.679,10.531,0.126,248.1663266
0526_07.csv,0526_07_mesh_7.ply,576.586,724.551,32.859,39.539,9.097,0.143,248.0115716
0524_21.csv,0524_21_mesh_1.ply,213.799,276.299,19.144,5.243,4.642,0.053,247.8963887
0526_04.csv,0526_04_mesh_18.ply,727.862,589.434,30.005,12.117,6.718,0.18,247.2996255
0524_15.csv,0524_15_mesh_11.ply,5851.307,2643.31,69.08,29.654,11.788,1.439,245.9279611
0524_22.csv,0524_22_mesh_14.ply,65.261,103.693,8.199,5.082,3.469,0.016,245.1693967
0526_13.csv,0526_13_mesh_11.ply,792.376,793.007,44.104,20.369,6.317,0.194,244.833261
0526_05.csv,0526_05_mesh_14.ply,61.291,103.468,9.129,4.726,3.854,0.015,244.7341371
0526_05.csv,0526_05_mesh_13.ply,368.53,437.729,23.649,8.701,6.571,0.09,244.2134969
