Experiment order,Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
10,0406_01.csv,0406_01_mesh_10.ply,55.545,123.188,17.851,3.684,2.875,0.015,270.0513097
20,0408_14.csv,0408_14_mesh_25.ply,41.713,94.785,13.938,3.301,2.883,0.015,359.6001247
16,0407_19.csv,0407_19_mesh_15.ply,64.264,133.566,17.127,3.508,2.891,0.015,233.4121748
12,0406_14.csv,0406_14_mesh_8.ply,64.005,126.528,17.297,3.105,3.096,0.015,234.3566909
18,0408_05.csv,0408_05_mesh_2.ply,37.333,64.717,16.755,3.926,3.39,0.015,401.7893017
6,0403_16.csv,0403_16_mesh_7.ply,14.157,112.502,21.984,3.64,3.397,0.015,1059.546514
16,0407_20.csv,0407_20_mesh_4.ply,41.235,78.867,7.392,5.415,3.468,0.015,363.7686431
12,0406_14.csv,0406_14_mesh_10.ply,57.309,105.806,14.777,7.189,3.868,0.015,261.7389939
20,0408_13.csv,0408_13_mesh_9.ply,36.403,187.745,12.072,8.902,4.801,0.015,412.0539516
20,0409_01.csv,0409_01_mesh_26.ply,45.047,134.938,13.341,6.623,5.164,0.015,332.9855484
20,0409_02.csv,0409_02_mesh_8.ply,21.135,57.06,9.031,2.701,2.376,0.016,757.0380885
6,0403_13.csv,0403_13_mesh_4.ply,60.32,106.006,11.736,3.306,3.245,0.016,265.2519894
14,0407_08.csv,0407_08_mesh_12.ply,22.558,207.325,20.713,8.204,3.383,0.016,709.2827378
20,0408_14.csv,0408_14_mesh_5.ply,59.263,115.172,10.147,4.603,3.542,0.016,269.9829573
16,0407_20.csv,0407_20_mesh_20.ply,62.535,104.05,11.43,3.656,3.776,0.016,255.8567202
18,0408_04.csv,0408_04_mesh_6.ply,63.998,218.687,23.584,9.739,3.918,0.016,250.0078127
20,0409_02.csv,0409_02_mesh_17.ply,46.107,207.861,12.737,8.871,4.95,0.016,347.0188908
6,0403_15.csv,0403_15_mesh_4.ply,71.592,190.967,23.127,13.773,6.301,0.016,223.488658
12,0406_14.csv,0406_14_mesh_6.ply,1.335,119.247,9.053,7.721,2.378,0.017,12734.0824
6,0404_08.csv,0404_08_mesh_9.ply,51.076,119.529,13.54,4.122,2.876,0.017,332.8373404
4,0403_05.csv,0403_05_mesh_16.ply,46.465,103.081,15.658,4.764,3.235,0.017,365.8667814
20,0408_12.csv,0408_12_mesh_10.ply,72.769,152.072,21.049,3.706,3.272,0.017,233.6159628
14,0407_09.csv,0407_09_mesh_4.ply,58.165,115.841,12.639,3.866,3.293,0.017,292.2719849
14,0407_08.csv,0407_08_mesh_1.ply,68.871,138.723,16.256,6.698,3.298,0.017,246.8382919
20,0409_01.csv,0409_01_mesh_11.ply,14.601,181.249,12.627,8.67,4.106,0.017,1164.303815
12,0406_13.csv,0406_13_mesh_12.ply,86.085,168.03,15.395,6.089,4.372,0.017,197.4792356
20,0408_14.csv,0408_14_mesh_36.ply,88.787,150.696,12.51,4.551,4.478,0.017,191.4694719
8,0405_01.csv,0405_01_mesh_10.ply,58.343,105.865,10.369,5.739,4.484,0.017,291.3802856
20,0409_02.csv,0409_02_mesh_16.ply,64.255,110.678,14.245,3.783,4.765,0.017,264.5708505
20,0408_14.csv,0408_14_mesh_4.ply,59.259,135.274,17.371,4.367,2.895,0.018,303.7513289
12,0406_14.csv,0406_14_mesh_11.ply,5.614,154.424,14.407,6.906,3.02,0.018,3206.270039
16,0407_20.csv,0407_20_mesh_27.ply,51.358,108.113,12.7,4.174,3.044,0.018,350.4809377
6,0403_13.csv,0403_13_mesh_5.ply,45.309,163.864,32.483,3.093,3.126,0.018,397.2720652
18,0408_04.csv,0408_04_mesh_10.ply,89.513,203.913,34.219,4.98,3.22,0.018,201.0881101
20,0408_14.csv,0408_14_mesh_34.ply,29.44,119.499,7.934,7.601,3.234,0.018,611.4130435
18,0408_04.csv,0408_04_mesh_18.ply,80.026,178.84,25.437,4.749,3.372,0.018,224.9268988
12,0406_14.csv,0406_14_mesh_5.ply,67.306,104.301,9.105,5.425,3.452,0.018,267.4352955
20,0408_14.csv,0408_14_mesh_32.ply,75.013,112.436,9.467,5.659,3.509,0.018,239.9584072
