Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0522_03.csv,0522_03_mesh_4.ply,607.466,863.11,43.709,7.728,9.011,0.213,350.6369081
0524_01.csv,0524_01_mesh_1.ply,1190.159,885.382,41.06,13.344,9.015,0.268,225.179997
0524_07.csv,0524_07_mesh_3.ply,3075.639,2743.677,136.986,26.752,9.426,0.68,221.0922673
0522_01.csv,0522_01_mesh_11.ply,1211.044,874.794,30.847,13.223,9.448,0.428,353.4140791
0522_01.csv,0522_01_mesh_6.ply,2038.218,1583.321,78.799,12.902,9.503,0.771,378.2716078
0524_13.csv,0524_13_mesh_8.ply,3409.929,2111.499,90.664,15.472,9.546,1,293.261238
0524_01.csv,0524_01_mesh_8.ply,562.483,518.961,23.952,10.893,9.576,0.163,289.7865358
0521_01.csv,0521_01_mesh_1.ply,668.086,496.885,16.568,13.264,9.589,0.197,294.872217
0521_01.csv,0521_01_mesh_8.ply,1287.683,1028.022,50.187,12.204,9.678,0.278,215.8916441
0524_03.csv,0524_03_mesh_6.ply,1480.575,1029.292,42.379,9.519,9.711,0.387,261.3849349
0524_06.csv,0524_06_mesh_4.ply,2179.017,1412.151,50.422,11.597,9.788,0.501,229.9201888
0524_08.csv,0524_08_mesh_11.ply,833.452,601.005,19.272,10.256,9.793,0.246,295.1579695
0522_02.csv,0522_02_mesh_6.ply,1350.526,1614.182,130.068,21.226,9.845,0.245,181.4107985
0524_08.csv,0524_08_mesh_6.ply,2604.793,1881.117,66.726,10.236,9.881,0.558,214.2204774
0522_08.csv,0522_08_mesh_5.ply,1003.446,689.249,21.915,10.231,10.249,0.244,243.1620635
0524_03.csv,0524_03_mesh_4.ply,1626.136,970.345,37.825,13.055,10.278,0.71,436.6178475
0522_08.csv,0522_08_mesh_4.ply,2506.534,1915.702,88.834,12.024,10.389,0.963,384.1958657
0524_13.csv,0524_13_mesh_3.ply,1799.758,1469.447,82.444,13.08,10.439,0.309,171.6897494
0521_01.csv,0521_01_mesh_3.ply,3586.363,1929.866,56.433,18.781,10.792,0.884,246.4892706
0522_08.csv,0522_08_mesh_8.ply,4303.821,2170.821,68.642,16.128,10.886,0.978,227.239934
0524_09.csv,0524_09_mesh_10.ply,575.187,767.065,53.348,17.167,10.895,0.132,229.4905831
0524_03.csv,0524_03_mesh_9.ply,2317.718,1147.027,36.162,12.013,11.116,0.395,170.4262555
0522_09.csv,0522_09_mesh_3.ply,737.876,788.239,52.9,13.947,11.135,0.159,215.4833603
0524_06.csv,0524_06_mesh_8.ply,3107.477,1780.616,67.668,10.679,11.286,0.785,252.6165117
0522_06.csv,0522_06_mesh_3.ply,3624.416,1928.164,67.707,15.263,11.354,0.967,266.8016033
0522_01.csv,0522_01_mesh_12.ply,2573.841,1364.262,38.479,13.487,11.508,0.625,242.8277427
0524_12.csv,0524_12_mesh_6.ply,5663.922,2792.996,83.063,20.714,11.643,1.231,217.3405637
0524_04.csv,0524_04_mesh_2.ply,5312.906,3138.663,119.636,23.941,11.753,2.601,489.5625859
0522_05.csv,0522_05_mesh_9.ply,2767.143,1537.071,51.623,13.248,11.811,0.642,232.0082482
0522_06.csv,0522_06_mesh_8.ply,2748.794,1414.523,40.58,12.218,11.968,0.594,216.0947674
0522_06.csv,0522_06_mesh_5.ply,2093.876,2013.266,121.21,28.261,12.021,0.44,210.1366079
0522_01.csv,0522_01_mesh_1.ply,1067.438,675.495,26.04,10.546,12.268,0.217,203.2904956
0522_01.csv,0522_01_mesh_2.ply,2444.501,1291.289,41.847,17.351,12.268,0.397,162.4053334
0524_08.csv,0524_08_mesh_9.ply,1489.226,1309.038,45.9,14.852,12.423,0.453,304.1848584
0524_04.csv,0524_04_mesh_5.ply,5196.213,2800.463,95.416,19.474,12.493,2.069,398.1745937
0522_06.csv,0522_06_mesh_1.ply,727.686,615.594,19.06,12.608,12.708,0.2,274.84382
0524_03.csv,0524_03_mesh_3.ply,9922.152,4515.753,138.403,18.488,12.748,2.438,245.7128252
0521_01.csv,0521_01_mesh_4.ply,6907.698,3096.639,80.8,22.29,13.783,1.385,200.5009484
0522_05.csv,0522_05_mesh_5.ply,1886.581,2071.492,131.876,44.676,13.783,0.468,248.067801
0522_08.csv,0522_08_mesh_2.ply,6895.99,3539.735,122.619,19.304,14.235,2.436,353.2487721
0524_01.csv,0524_01_mesh_6.ply,8209.868,3404.93,81.386,26.269,15.118,1.866,227.2874546
0522_08.csv,0522_08_mesh_1.ply,6177.738,3938.221,146.518,39.645,15.377,2.965,479.9491335
