Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0423_07.csv,0423_07_mesh_18.ply,129.745,222.582,19.112,11.398,6.455,0.043
0423_09.csv,0423_09_mesh_2.ply,136.089,236.48,14.81,7.527,4.595,0.043
0423_10.csv,0423_10_mesh_4.ply,150.478,220.665,13.86,11.037,7.19,0.043
0423_16.csv,0423_16_mesh_11.ply,167.143,382.452,41.096,12.926,11.931,0.043
0423_17.csv,0423_17_mesh_3.ply,154.404,356.363,42.299,6.609,10.15,0.043
0423_20.csv,0423_20_mesh_9.ply,101.665,218.594,22.153,6.028,4.721,0.043
0423_26.csv,0423_26_mesh_20.ply,144.711,235.623,22.49,8.525,8.226,0.043
0422_03.csv,0422_03_mesh_5.ply,0.508,168.342,33.617,6.453,3.199,0.044
0422_08.csv,0422_08_mesh_10.ply,120.5,303.431,43.547,12.64,4.623,0.044
0423_07.csv,0423_07_mesh_4.ply,137.724,234.861,22.746,9.745,5.043,0.044
0423_10.csv,0423_10_mesh_18.ply,135.848,297.335,34.703,15.95,6.021,0.044
0423_13.csv,0423_13_mesh_18.ply,146.846,321.693,41.034,16.863,9.319,0.044
0423_13.csv,0423_13_mesh_6.ply,125.11,184.092,19.884,7.38,5.405,0.044
0423_23.csv,0423_23_mesh_3.ply,71.286,266.603,19.824,7.401,4.131,0.044
0423_26.csv,0423_26_mesh_11.ply,138.105,225.974,23.684,8.249,4.195,0.044
0423_26.csv,0423_26_mesh_16.ply,97.435,170.272,18.915,4.424,3.023,0.044
0424_09.csv,0424_09_mesh_5.ply,133.356,286.656,22.331,8.747,5.191,0.044
0422_04.csv,0422_04_mesh_22.ply,147.306,370.481,52.01,8.556,4.006,0.045
0423_25.csv,0423_25_mesh_6.ply,142.652,279.237,34.781,12.106,5.002,0.045
0424_07.csv,0424_07_mesh_7.ply,181.141,387.303,52.866,10.417,3.995,0.045
0422_03.csv,0422_03_mesh_10.ply,116.351,167.149,10.65,7.67,4.533,0.046
0422_03.csv,0422_03_mesh_3.ply,116.707,301.13,43.295,11.711,3.898,0.046
0422_12.csv,0422_12_mesh_14.ply,270.515,188.416,41.427,5.86,3.542,0.046
0423_26.csv,0423_26_mesh_9.ply,121.463,371.138,55.317,22.001,8.823,0.046
0424_03.csv,0424_03_mesh_29.ply,151.862,344.761,39.781,11.115,9.301,0.046
0424_08.csv,0424_08_mesh_12.ply,116.654,402.544,38.666,15.229,4.774,0.046
0424_08.csv,0424_08_mesh_25.ply,139.836,199.301,18.458,5.941,4.611,0.046
0424_09.csv,0424_09_mesh_27.ply,143.511,444.138,33.415,23.242,4.701,0.046
0422_09.csv,0422_09_mesh_5.ply,112.262,252.715,21.524,4.703,3.521,0.047
0423_07.csv,0423_07_mesh_5.ply,92.243,329.719,64.82,10.374,12.104,0.047
0423_17.csv,0423_17_mesh_24.ply,192.062,402.889,45.686,7.398,4.575,0.047
0423_17.csv,0423_17_mesh_7.ply,201.806,528.581,62.979,18.553,6.633,0.047
0423_21.csv,0423_21_mesh_21.ply,131.074,344.587,41.975,8.862,10.353,0.047
0423_06.csv,0423_06_mesh_9.ply,146.214,231.896,19.076,5.853,4.354,0.048
0423_09.csv,0423_09_mesh_13.ply,202.987,236.358,13.181,6.771,6.299,0.048
0423_13.csv,0423_13_mesh_17.ply,122.795,300.774,50.671,7.167,5.617,0.048
0423_25.csv,0423_25_mesh_9.ply,137.419,327.85,45.233,14.015,7.215,0.048
0423_26.csv,0423_26_mesh_12.ply,148.658,276.288,34.842,12.929,4.65,0.048
0424_07.csv,0424_07_mesh_2.ply,177.686,360.001,44.961,11.153,6.362,0.048
0424_08.csv,0424_08_mesh_2.ply,181.648,366.858,39.656,8.384,7.512,0.048
0422_10.csv,0422_10_mesh_10.ply,134.979,287.948,28.394,6.231,3.96,0.049
0423_09.csv,0423_09_mesh_14.ply,85.072,172.548,18.408,5.757,4.07,0.049
0423_10.csv,0423_10_mesh_13.ply,161.698,230.594,19.798,5.626,4.054,0.049
0423_15.csv,0423_15_mesh_5.ply,192.6,271.792,20.538,5.765,4.952,0.049
0424_02.csv,0424_02_mesh_22.ply,124.16,273.247,23.1,11.099,9.357,0.049
0424_08.csv,0424_08_mesh_14.ply,150.361,263.728,28.974,6.207,5.1,0.049
0424_08.csv,0424_08_mesh_21.ply,122.22,319.118,50.487,9.62,4.694,0.049
0422_09.csv,0422_09_mesh_8.ply,151.689,274.236,36.968,6.826,4.136,0.05
0422_10.csv,0422_10_mesh_17.ply,127.765,259.842,28.466,11.956,3.783,0.05
0423_13.csv,0423_13_mesh_2.ply,177.7,383.524,42.124,17.808,4.106,0.05
0424_07.csv,0424_07_mesh_11.ply,189.536,543.847,74.701,22.467,5.468,0.05
0422_03.csv,0422_03_mesh_2.ply,140.272,319.876,32.3,10.872,6.209,0.051
0422_02.csv,0422_02_mesh_15.ply,164.353,242.105,21.818,6.008,3.751,0.052
0423_06.csv,0423_06_mesh_8.ply,184.07,295.368,30.966,9.694,4.087,0.052
0423_10.csv,0423_10_mesh_9.ply,166.102,262.516,29.094,5.062,4.069,0.052
0424_08.csv,0424_08_mesh_11.ply,93.198,244.347,29.266,7.212,8.284,0.052
0422_02.csv,0422_02_mesh_10.ply,152.417,200.289,11.08,7.277,5.805,0.053
0422_04.csv,0422_04_mesh_1.ply,180.986,265.849,25.751,6.168,5.433,0.053
0422_04.csv,0422_04_mesh_19.ply,167.137,299.584,24.614,9.684,6.5,0.053
0422_07.csv,0422_07_mesh_4.ply,87.3,163.711,16.533,6.516,3.833,0.053
0422_09.csv,0422_09_mesh_9.ply,160.397,318.131,40.309,9.622,6.797,0.053
0423_21.csv,0423_21_mesh_23.ply,166.496,241.92,25.591,4.937,4.763,0.053
0423_24.csv,0423_24_mesh_5.ply,162.213,196.691,13.25,8.042,5.47,0.053
0424_08.csv,0424_08_mesh_7.ply,85.337,232.983,37.154,11.179,4.79,0.053
0423_06.csv,0423_06_mesh_14.ply,132.501,326.733,39.501,14.332,6.727,0.054
0423_21.csv,0423_21_mesh_11.ply,269.401,402.739,37.663,10.621,4.422,0.054
0422_10.csv,0422_10_mesh_22.ply,158.148,291.317,22.847,9.788,4.637,0.055
0422_10.csv,0422_10_mesh_8.ply,158.998,206.3,15.585,7.635,4.178,0.055
0423_06.csv,0423_06_mesh_10.ply,123.426,261.22,34.188,13.624,2.888,0.055
0423_07.csv,0423_07_mesh_13.ply,96.18,397.847,74.903,11.706,4.53,0.055
0423_25.csv,0423_25_mesh_13.ply,180.151,276.975,27.624,7.095,3.769,0.055
0424_03.csv,0424_03_mesh_21.ply,204.903,589.107,100.484,20.194,7.183,0.056
0423_13.csv,0423_13_mesh_14.ply,220.886,278.336,24.009,7.505,5.082,0.057
0423_14.csv,0423_14_mesh_12.ply,178.776,377.92,40.188,11.304,14.228,0.057
0424_02.csv,0424_02_mesh_17.ply,169.178,283.883,24.006,16.956,6.854,0.057
0422_08.csv,0422_08_mesh_13.ply,181.39,240.732,21.193,5.56,4.027,0.058
0423_21.csv,0423_21_mesh_9.ply,207.021,553.286,48.631,37.722,3.944,0.058
0423_26.csv,0423_26_mesh_6.ply,128.217,316.746,43.175,18.102,5.199,0.058
0424_03.csv,0424_03_mesh_27.ply,15.659,162.897,28.677,8.617,5.369,0.058
0423_04.csv,0423_04_mesh_4.ply,197.262,222.607,14.087,5.348,5.355,0.059
0423_05.csv,0423_05_mesh_12.ply,170.09,303.858,32.548,5.524,3.806,0.059
0423_24.csv,0423_24_mesh_4.ply,206.722,351.172,31.943,7.334,4.576,0.06
0424_08.csv,0424_08_mesh_23.ply,177.467,399.55,38.938,18.746,8.253,0.06
0422_09.csv,0422_09_mesh_4.ply,212.578,471.471,57.356,22.412,5.356,0.062
0422_10.csv,0422_10_mesh_19.ply,199.384,320.944,25.394,16.334,6.923,0.062
0423_16.csv,0423_16_mesh_3.ply,254.24,434.447,37.153,7.478,7.638,0.062
0423_06.csv,0423_06_mesh_1.ply,209.738,429.279,53.063,10.015,6.886,0.064
0423_06.csv,0423_06_mesh_19.ply,150.308,296.771,33.795,5.998,5.539,0.064
0423_06.csv,0423_06_mesh_20.ply,215.851,362.874,35.712,12.538,6.998,0.064
0423_21.csv,0423_21_mesh_4.ply,257.697,394.939,22.065,12.045,5.304,0.064
0424_06.csv,0424_06_mesh_4.ply,243.244,414.936,33.36,12.65,5.339,0.064
0423_07.csv,0423_07_mesh_16.ply,243.183,540.092,56.833,20.836,5.713,0.065
0423_15.csv,0423_15_mesh_15.ply,205.272,233.12,10.465,8.845,5.842,0.065
0423_24.csv,0423_24_mesh_13.ply,187.562,349.842,33.793,10.162,7.544,0.065
0423_05.csv,0423_05_mesh_13.ply,170.265,189.305,10.733,6.437,6.198,0.066
0423_07.csv,0423_07_mesh_9.ply,171.636,483.774,73.434,18.953,3.829,0.066
0423_16.csv,0423_16_mesh_9.ply,236.538,427.681,43.071,8.687,7.274,0.066
0422_02.csv,0422_02_mesh_9.ply,104.531,259.514,24.593,17.224,8.81,0.067
0422_07.csv,0422_07_mesh_10.ply,222.708,280.543,20.557,7.919,4.588,0.067
0422_07.csv,0422_07_mesh_3.ply,152.595,192.972,12.773,5.275,5.279,0.067
0423_07.csv,0423_07_mesh_6.ply,223.412,373.409,37.019,9.821,4.974,0.067
0423_12.csv,0423_12_mesh_17.ply,225.578,359.923,35.875,5.852,4.297,0.068
0423_14.csv,0423_14_mesh_10.ply,142.873,403.062,22.522,9.433,5.058,0.068
0423_20.csv,0423_20_mesh_15.ply,190.727,300.446,31.666,9.003,5.29,0.068
0422_04.csv,0422_04_mesh_2.ply,201.999,397.481,36.95,10.182,8.243,0.069
0422_07.csv,0422_07_mesh_13.ply,174.477,199.367,13.477,6.771,4.768,0.07
0423_06.csv,0423_06_mesh_6.ply,216.407,485.027,73.475,17.71,4.851,0.07
0423_21.csv,0423_21_mesh_6.ply,244.827,307.144,18.958,7.216,5.553,0.07
0424_02.csv,0424_02_mesh_1.ply,228.487,292.706,20.557,6.344,5.243,0.07
0423_16.csv,0423_16_mesh_10.ply,271.061,411.584,40.126,5.066,4.587,0.071
0423_24.csv,0423_24_mesh_7.ply,237.274,339.885,24.981,9.163,5.75,0.071
0424_07.csv,0424_07_mesh_10.ply,237.554,550.172,60.173,12.841,6.398,0.071
0423_07.csv,0423_07_mesh_17.ply,254.376,499.66,39.531,22.053,6.81,0.072
0423_06.csv,0423_06_mesh_17.ply,224.581,278.378,24.946,7.568,5.843,0.073
0423_06.csv,0423_06_mesh_5.ply,246.556,341.107,28.094,7.919,4.913,0.073
0423_20.csv,0423_20_mesh_6.ply,305.023,453.084,39.201,7.442,4.584,0.073
0421_01.csv,0421_01_mesh_2.ply,194.684,439.42,47.741,24.158,9.495,0.074
0421_01.csv,0421_01_mesh_3.ply,216.726,350.574,27.078,5.911,3.883,0.074
0424_08.csv,0424_08_mesh_19.ply,235.564,463.107,51.502,13.255,11.02,0.074
0421_01.csv,0421_01_mesh_12.ply,268.857,287.203,15.626,7.206,5.909,0.075
0424_07.csv,0424_07_mesh_5.ply,259.243,522.784,49.742,19.77,5.199,0.076
