Experiment order,Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
7,0404_03.csv,0404_03_mesh_10.ply,530.867,711.108,33.987,16.238,8.038,0.174,327.7657116
1,0330_05.csv,0330_05_mesh_5.ply,561.05,680.922,51.762,15.92,6.022,0.184,327.9565101
19,0408_06.csv,0408_06_mesh_7.ply,161.528,253.979,15.666,5.062,4.895,0.053,328.1164875
17,0407_23.csv,0407_23_mesh_14.ply,724.085,714.929,49.578,8.852,5.824,0.238,328.6906924
1,0330_06.csv,0330_06_mesh_4.ply,173.332,278.677,25.484,9.958,4.198,0.057,328.8486835
11,0406_06.csv,0406_06_mesh_8.ply,255.116,266.669,14.495,9.254,9.157,0.084,329.2619828
13,0407_04.csv,0407_04_mesh_8.ply,127.407,163.316,12.347,5.656,4.33,0.042,329.6522169
3,0331_08.csv,0331_08_mesh_10.ply,1170.884,902.184,41.509,11.442,8.955,0.386,329.6654494
19,0408_08.csv,0408_08_mesh_18.ply,81.73,186.659,28.854,7.047,3.561,0.027,330.3560504
17,0407_26.csv,0407_26_mesh_7.ply,211.86,350.124,35.924,12.331,4.123,0.07,330.4068725
9,0405_09.csv,0405_09_mesh_1.ply,308.409,598.613,71.374,7.788,14.929,0.102,330.729648
11,0406_06.csv,0406_06_mesh_2.ply,794.717,669.906,23.115,18.865,8.423,0.263,330.9354147
13,0407_04.csv,0407_04_mesh_5.ply,117.685,170.492,11.139,9.95,5.152,0.039,331.3931257
15,0407_12.csv,0407_12_mesh_24.ply,30.151,166.777,29.429,8.897,3.29,0.01,331.6639581
11,0406_05.csv,0406_05_mesh_19.ply,108.532,145.344,12.503,4.508,4.576,0.036,331.6994066
1,0330_05.csv,0330_05_mesh_7.ply,623.547,500.011,15.858,9.875,8.007,0.207,331.971768
17,0407_26.csv,0407_26_mesh_14.ply,102.274,264.082,41.834,10.179,6.162,0.034,332.4403074
3,0331_08.csv,0331_08_mesh_5.ply,183.402,221.099,13.273,5.73,5.19,0.061,332.6026979
3,0403_01.csv,0403_01_mesh_9.ply,231.41,457.686,51.89,17.651,5.796,0.077,332.742751
17,0407_25.csv,0407_25_mesh_18.ply,132.193,304.261,17.956,8.144,3.726,0.044,332.8466712
5,0403_12.csv,0403_12_mesh_6.ply,243.338,382.797,38.89,10.203,5.626,0.081,332.8703285
1,0330_01.csv,0330_01_mesh_6.ply,717.857,747.866,21.327,10.53,8.748,0.239,332.9353896
3,0331_07.csv,0331_07_mesh_3.ply,936.496,944.473,57.638,20.427,12.18,0.312,333.1567887
19,0408_08.csv,0408_08_mesh_24.ply,110.92,166.3,18.118,6.255,4.663,0.037,333.5737468
11,0406_06.csv,0406_06_mesh_13.ply,38.915,92.44,13.582,3.301,2.315,0.013,334.0614159
15,0407_12.csv,0407_12_mesh_16.ply,89.787,120.831,9.447,6.578,4.634,0.03,334.1240937
13,0407_02.csv,0407_02_mesh_3.ply,212.203,265.074,13.63,9.101,5.493,0.071,334.5852792
15,0407_13.csv,0407_13_mesh_22.ply,158.328,224.926,15.336,7.599,5.268,0.053,334.7481178
1,0330_03.csv,0330_03_mesh_5.ply,2065.313,1232.31,37.322,11.264,10.058,0.693,335.5423609
5,0403_09.csv,0403_09_mesh_7.ply,1663.406,1116.739,45.582,17.744,11.662,0.559,336.0574628
1,0330_05.csv,0330_05_mesh_4.ply,77.313,186.295,28.277,4.333,3.481,0.026,336.295319
17,0407_23.csv,0407_23_mesh_12.ply,359.486,372.927,25.973,5.378,5.275,0.121,336.5916892
11,0406_04.csv,0406_04_mesh_2.ply,151.473,200.705,16.085,7.158,4.486,0.051,336.6936682
1,0330_07.csv,0330_07_mesh_5.ply,103.898,182.33,17.443,4.433,3.624,0.035,336.8688521
7,0404_03.csv,0404_03_mesh_7.ply,696.476,470.564,14.949,10.995,9.216,0.235,337.4129188
7,0404_02.csv,0404_02_mesh_9.ply,709.611,908.501,61.835,12.784,20.666,0.24,338.2134719
3,0331_08.csv,0331_08_mesh_7.ply,788.68,677.457,30.785,21.442,9.418,0.267,338.5403459
17,0407_25.csv,0407_25_mesh_15.ply,94.25,147.285,16.397,3.573,3.899,0.032,339.5225464
5,0403_12.csv,0403_12_mesh_9.ply,191.221,299.308,29.635,17.4,4.623,0.065,339.9208246
13,0407_03.csv,0407_03_mesh_5.ply,414.415,588.856,47.4,15.408,6.301,0.141,340.2386497
9,0405_06.csv,0405_06_mesh_12.ply,562.345,487.16,22.993,7.828,7.081,0.192,341.4274156
13,0407_02.csv,0407_02_mesh_9.ply,5083.658,2957.47,87.343,44.021,14.398,1.738,341.8798039
19,0408_09.csv,0408_09_mesh_4.ply,78.916,147.847,11.852,4.725,3.885,0.027,342.135942
13,0407_04.csv,0407_04_mesh_16.ply,58.421,133.21,21.745,4.669,3.665,0.02,342.3426508
19,0408_09.csv,0408_09_mesh_3.ply,26.288,126.453,18.407,9,2.592,0.009,342.3615338
3,0331_09.csv,0331_09_mesh_1.ply,192.253,274.676,6.023,26.716,4.299,0.066,343.2976338
17,0407_25.csv,0407_25_mesh_26.ply,93.02,165.516,19.653,3.754,3.191,0.032,344.0120404
7,0404_01.csv,0404_01_mesh_11.ply,174.399,293.02,31.868,5.003,3.876,0.06,344.0386699
1,0330_04.csv,0330_04_mesh_11.ply,267.23,329.697,18.505,6.415,5.397,0.092,344.2727239
7,0404_03.csv,0404_03_mesh_6.ply,162.436,259.616,28.555,4.906,4.296,0.056,344.7511635
9,0405_05.csv,0405_05_mesh_7.ply,142.012,172.158,9.824,7.076,4.416,0.049,345.0412641
13,0407_03.csv,0407_03_mesh_10.ply,420.236,556.98,43.843,15.302,10.796,0.145,345.0442133
13,0407_02.csv,0407_02_mesh_7.ply,176.643,251.899,14.751,9.792,5.749,0.061,345.32928
7,0404_02.csv,0404_02_mesh_11.ply,118.69,201.664,22.43,5.932,3.435,0.041,345.4376948
13,0407_03.csv,0407_03_mesh_24.ply,133.104,296.296,38.858,11.029,6.98,0.046,345.5944224
1,0330_02.csv,0330_02_mesh_1.ply,332.74,330.136,17.653,6.466,6.728,0.115,345.615195
15,0407_11.csv,0407_11_mesh_12.ply,153.285,185.444,12.915,5.717,4.675,0.053,345.7611638
19,0408_07.csv,0408_07_mesh_18.ply,150.12,222.107,17.16,6.191,4.006,0.052,346.389555
17,0407_24.csv,0407_24_mesh_14.ply,224.745,258.115,17.702,7.658,4.917,0.078,347.0600013
3,0331_08.csv,0331_08_mesh_12.ply,97.882,135.948,11.327,4.304,4.016,0.034,347.3570217
3,0331_08.csv,0331_08_mesh_2.ply,785.704,612.991,29.082,8.46,6.845,0.273,347.459094
13,0407_04.csv,0407_04_mesh_26.ply,106.443,173.931,15.422,12.644,4.126,0.037,347.6038819
19,0408_08.csv,0408_08_mesh_13.ply,129.432,330.412,45.035,11.037,5.234,0.045,347.6729093
13,0407_01.csv,0407_01_mesh_3.ply,255.895,420.252,39.388,13.972,6.953,0.089,347.7989019
1,0330_04.csv,0330_04_mesh_8.ply,160.899,371.891,39.893,5.969,3.924,0.056,348.0444254
3,0331_10.csv,0331_10_mesh_1.ply,427.826,728.128,75.996,18.135,4.449,0.149,348.2724285
15,0407_13.csv,0407_13_mesh_19.ply,66.007,138.262,9.491,6.996,3.4,0.023,348.4478919
19,0408_08.csv,0408_08_mesh_4.ply,120.444,235.944,30.143,6.959,4.039,0.042,348.7097738
13,0407_03.csv,0407_03_mesh_14.ply,45.848,113.855,19.327,5.071,3.476,0.016,348.9792357
13,0407_02.csv,0407_02_mesh_13.ply,117.388,178.119,13.896,6.286,4.107,0.041,349.2690905
17,0407_27.csv,0407_27_mesh_11.ply,131.621,176.582,15.161,6.442,5.248,0.046,349.4883035
17,0407_26.csv,0407_26_mesh_10.ply,82.944,197.906,25.411,7.722,3.154,0.029,349.6334877
11,0406_04.csv,0406_04_mesh_8.ply,82.92,169.09,20.188,7.412,3.629,0.029,349.734684
15,0407_12.csv,0407_12_mesh_4.ply,125.671,271.426,20.344,6.277,4.209,0.044,350.1205529
17,0407_27.csv,0407_27_mesh_7.ply,31.322,110.698,16.231,4.695,4,0.011,351.1908563
