Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0507_09.csv,0507_09_mesh_1.ply,1984.651,1160.397,42.428,13.189,10.814,0.882,444.4106294
0507_14.csv,0507_14_mesh_8.ply,320.415,841.767,28.064,15.706,8.867,0.141,440.0543046
0507_07.csv,0507_07_mesh_16.ply,99.179,175.146,20.619,5.116,4.611,0.043,433.5595237
0506_12.csv,0506_12_mesh_6.ply,18.815,126.517,10.895,7.414,3.05,0.008,425.1926654
0506_08.csv,0506_08_mesh_19.ply,341.38,197.951,14.433,9.008,7.786,0.145,424.7466167
0506_04.csv,0506_04_mesh_3.ply,342.156,541.779,53.151,9.795,7.248,0.145,423.7833035
0507_12.csv,0507_12_mesh_11.ply,35.669,169.975,17.272,7.608,4.749,0.015,420.5332361
0507_04.csv,0507_04_mesh_1.ply,140.936,241.576,20.222,8.171,4.131,0.059,418.6297326
0506_05.csv,0506_05_mesh_23.ply,28.679,129.323,11.597,5.269,3.009,0.012,418.4246313
0506_05.csv,0506_05_mesh_6.ply,98.137,179.167,9.357,7.563,5.299,0.041,417.7833029
0507_04.csv,0507_04_mesh_11.ply,94.739,279.098,43.878,10.633,3.196,0.039,411.65729
0508_01.csv,0508_01_mesh_11.ply,41.408,200.506,12.349,8.038,5.88,0.017,410.5486862
0507_02.csv,0507_02_mesh_21.ply,185.426,217.686,10.185,9.948,7.898,0.076,409.8670089
0506_12.csv,0506_12_mesh_7.ply,100.343,195.752,18.389,6.793,3.846,0.041,408.5985071
0508_01.csv,0508_01_mesh_12.ply,115.571,190.519,10.713,7.712,5.46,0.047,406.6764154
0507_08.csv,0507_08_mesh_7.ply,22.395,109.89,8.003,9.911,2.152,0.009,401.8754186
0507_09.csv,0507_09_mesh_10.ply,434.905,434.88,24.023,10.213,8.002,0.174,400.0873754
0507_12.csv,0507_12_mesh_5.ply,521.836,575.618,26.375,11.78,13.572,0.208,398.5926613
0507_06.csv,0507_06_mesh_6.ply,1666.33,1021.519,38.419,14.565,11.603,0.664,398.4804931
0507_12.csv,0507_12_mesh_6.ply,47.733,140.418,22.461,3.199,2.27,0.019,398.0474724
0507_08.csv,0507_08_mesh_18.ply,113.382,184.24,13.942,6.302,4.594,0.045,396.888395
0507_02.csv,0507_02_mesh_6.ply,502.361,422.545,17.252,11.999,6.942,0.199,396.1294766
0505_01.csv,0505_01_mesh_2.ply,399.168,423,32.074,5.354,5.6,0.157,393.3181017
0507_08.csv,0507_08_mesh_4.ply,43.743,104.307,6.588,6.691,5.1,0.017,388.6336099
0508_01.csv,0508_01_mesh_10.ply,59.247,279.334,14.38,9.388,6.558,0.023,388.20531
0506_03.csv,0506_03_mesh_7.ply,2090.063,1519.788,74.733,18.553,10.379,0.809,387.0696721
0506_01.csv,0506_01_mesh_15.ply,25.852,122.55,7.478,8.617,3.814,0.01,386.8172675
0505_01.csv,0505_01_mesh_15.ply,135.919,167.094,10.486,6.798,5.875,0.052,382.5808018
0506_08.csv,0506_08_mesh_23.ply,348.68,278.132,20.961,9.086,7.606,0.133,381.4385683
0507_10.csv,0507_10_mesh_13.ply,31.61,121.282,10.14,5.486,3.178,0.012,379.6267004
0507_09.csv,0507_09_mesh_17.ply,882.54,631.82,27.123,14.319,7.517,0.334,378.4531013
0506_04.csv,0506_04_mesh_11.ply,923.284,1261.004,98.588,35.381,8.638,0.349,377.9985357
0507_08.csv,0507_08_mesh_25.ply,82.274,134.109,11.781,4.037,3.797,0.031,376.7897513
0507_07.csv,0507_07_mesh_7.ply,114.707,215.355,18.769,9.308,6.703,0.043,374.8681423
0507_03.csv,0507_03_mesh_16.ply,61.406,210.54,12.594,10.094,4.316,0.023,374.5562323
0506_11.csv,0506_11_mesh_4.ply,267.131,429.453,45.928,12.43,8.943,0.1,374.3481663
0507_12.csv,0507_12_mesh_3.ply,50.883,174.905,9.69,8.978,4.552,0.019,373.4056561
0508_02.csv,0508_02_mesh_5.ply,26.881,95.255,8.649,6.27,2.793,0.01,372.0099699
0506_04.csv,0506_04_mesh_1.ply,604.731,625.921,45.73,8.655,5.816,0.223,368.7590019
0507_04.csv,0507_04_mesh_18.ply,108.854,180.897,11.128,5.431,4.936,0.04,367.4646775
0505_01.csv,0505_01_mesh_8.ply,310.334,330.483,22.715,9.013,4.738,0.114,367.3461496
0507_10.csv,0507_10_mesh_18.ply,139.056,304.405,17.508,8.182,5.915,0.051,366.7587159
0508_02.csv,0508_02_mesh_4.ply,21.816,105.243,8.851,10.317,2.174,0.008,366.703337
0506_04.csv,0506_04_mesh_16.ply,660.069,851.447,71.857,14.174,6.719,0.242,366.6283373
0506_01.csv,0506_01_mesh_5.ply,76.484,166.429,19.262,5.871,3.469,0.028,366.0896397
0506_04.csv,0506_04_mesh_12.ply,79.685,185.334,18.783,5.693,3.713,0.029,363.9329861
0507_10.csv,0507_10_mesh_12.ply,38.524,124.516,13.399,5.498,5.706,0.014,363.4098224
